[2022-10-07 09:07:10] INFO [http-nio-2222-exec-1] HomeController.home(19) | Da truy cap
[2022-10-07 09:07:19] INFO [http-nio-2222-exec-4] HomeController.home(19) | Da truy cap
[2022-10-07 09:09:42] INFO [http-nio-2222-exec-1] HomeController.home(19) | Da truy cap
[2022-10-07 09:09:50] INFO [http-nio-2222-exec-4] HomeController.home(19) | Da truy cap
[2022-10-07 09:09:56] INFO [http-nio-2222-exec-10] HomeController.home(19) | Da truy cap
[2022-10-07 09:37:16] INFO [http-nio-2222-exec-1] HomeController.home(19) | Da truy cap
[2022-10-07 11:16:25] INFO [http-nio-2222-exec-1] HomeController.home(25) | Da truy cap
[2022-10-07 11:16:31] INFO [http-nio-2222-exec-3] HomeController.home(25) | Da truy cap
[2022-10-07 11:16:39] INFO [http-nio-2222-exec-5] HomeController.home(25) | Da truy cap
[2022-10-07 11:17:14] INFO [http-nio-2222-exec-10] HomeController.home(25) | Da truy cap
[2022-10-07 11:17:25] INFO [http-nio-2222-exec-4] HomeController.home(25) | Da truy cap
[2022-10-07 11:18:13] INFO [http-nio-2222-exec-6] HomeController.home(25) | Da truy cap
[2022-10-07 11:18:13] INFO [http-nio-2222-exec-10] HomeController.home(25) | Da truy cap
