[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:07] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:35] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:35] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-2] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-2] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-2] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-2] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-2] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:37] INFO [http-nio-8080-exec-2] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:52] INFO [http-nio-8080-exec-5] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:52] INFO [http-nio-8080-exec-5] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:17:52] INFO [http-nio-8080-exec-5] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:17:52] INFO [http-nio-8080-exec-5] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:02] INFO [http-nio-8080-exec-8] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:02] INFO [http-nio-8080-exec-8] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:02] INFO [http-nio-8080-exec-8] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:02] INFO [http-nio-8080-exec-8] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:05] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:05] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:05] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:05] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:09] INFO [http-nio-8080-exec-4] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:09] INFO [http-nio-8080-exec-4] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:15] INFO [http-nio-8080-exec-7] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:15] INFO [http-nio-8080-exec-7] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:15] INFO [http-nio-8080-exec-7] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:15] INFO [http-nio-8080-exec-7] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:20] INFO [http-nio-8080-exec-10] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:20] INFO [http-nio-8080-exec-10] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:23] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:23] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:18:23] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:18:23] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:20:51] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:20:51] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:20:51] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:20:51] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:02] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:03] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:04] INFO [http-nio-8080-exec-2] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:04] INFO [http-nio-8080-exec-2] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-3] ContextStartEventHandler.authenticate(30) | -----> found edu.hanoi.jazz.dao.model.User@668ae2bc by sa
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-3] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-3] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-3] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-3] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-3] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-3] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-1] ContextStartEventHandler.authenticate(30) | -----> found edu.hanoi.jazz.dao.model.User@12850c92 by sa
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-4] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:09] INFO [http-nio-8080-exec-4] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:23] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:23] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:23] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@245ec1a6
[2022-10-19 10:21:23] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
